x	y	z
-252963.290786	-300947.760376	20708.125863
-252963.290786	-286072.503748	20512.973706
-252963.290786	-271197.24712	20503.270626
-252963.290786	-256321.990492	20493.520918
-252963.290786	-241446.733864	20486.561573
-252963.290786	-226571.477236	20548.887066
-252963.290786	-211696.220608	20767.620806
-252963.290786	-196820.96398	20771.401417
-252963.290786	-181945.707353	20787.666886
-252963.290786	-167070.450725	20774.619416
-252963.290786	-152195.194097	20777.760722
-252963.290786	-137319.937469	20787.346004
-252963.290786	-122444.680841	20777.272041
-252963.290786	-107569.424213	20782.707668
-252963.290786	-92694.167585	20780.308126
-252963.290786	-77818.910957	20771.573207
-252963.290786	-62943.654329	20770.065135
-252963.290786	-48068.397701	20757.97049
-252963.290786	-33193.141073	20489.748584
-252963.290786	-18317.884445	20475.295198
-252963.290786	-3442.627817	20463.532787
-252963.290786	11432.628811	20462.386393
-252963.290786	26307.885438	20467.341004
-252963.290786	41183.142066	20723.357214
-252963.290786	56058.398694	20770.20502
-252963.290786	70933.655322	20771.270734
-252963.290786	85808.91195	20766.301088
-252963.290786	100684.168578	20762.775707
-252963.290786	115559.425206	20761.253217
-252963.290786	130434.681834	20759.451566
-252963.290786	145309.938462	20750.444237
-252963.290786	160185.19509	20762.440103
-252963.290786	175060.451718	20774.962996
-252963.290786	189935.708346	20772.823594
-252963.290786	204810.964974	20775.55015
-252963.290786	219686.221602	20620.5831
-252963.290786	234561.47823	20449.848777
-252963.290786	249436.734857	20434.805475
-252963.290786	264311.991485	20437.713638
-252963.290786	279187.248113	20461.536643
-252963.290786	294062.504741	20596.473569
-238281.831414	-211696.220608	20777.197495
-238281.831414	-196820.96398	20784.023091
-238281.831414	-181945.707353	20791.297792
-238281.831414	-167070.450725	20797.403095
-238281.831414	-152195.194097	20785.425021
-238281.831414	-137319.937469	20786.073529
-238281.831414	-122444.680841	20778.162589
-238281.831414	-107569.424213	20778.993931
-238281.831414	-92694.167585	20780.942522
-238281.831414	-77818.910957	20788.622774
-238281.831414	-62943.654329	20774.977721
-238281.831414	-48068.397701	20777.706117
-238281.831414	41183.142066	20700.185167
-238281.831414	56058.398694	20770.285394
-238281.831414	70933.655322	20765.966097
-238281.831414	85808.91195	20773.510755
-238281.831414	100684.168578	20775.67838
-238281.831414	115559.425206	20762.913753
-238281.831414	130434.681834	20755.940911
-238281.831414	145309.938462	20769.054026
-238281.831414	160185.19509	20768.784683
-238281.831414	175060.451718	20766.550184
-238281.831414	189935.708346	20779.543047
-238281.831414	204810.964974	20793.06171
-238281.831414	294062.504741	20443.36799
-223600.372042	-211696.220608	20782.970875
-223600.372042	-196820.96398	20788.592096
-223600.372042	-181945.707353	20791.842614
-223600.372042	-167070.450725	20794.837284
-223600.372042	-152195.194097	20795.876002
-223600.372042	-137319.937469	20779.119706
-223600.372042	-122444.680841	20788.462642
-223600.372042	-107569.424213	20792.98195
-223600.372042	-92694.167585	20801.784972
-223600.372042	-77818.910957	20792.885013
-223600.372042	-62943.654329	20793.757461
-223600.372042	-48068.397701	20787.170533
-223600.372042	41183.142066	20699.328057
-223600.372042	56058.398694	20770.797697
-223600.372042	70933.655322	20772.875745
-223600.372042	85808.91195	20780.613667
-223600.372042	100684.168578	20783.183159
-223600.372042	115559.425206	20798.922825
-223600.372042	130434.681834	20785.180833
